	text_id	word_id	ref_token	skipped	time	centered_time	word_len	word	surprisal	surprisal_buggy	freq	prev_word	prev2_word	prev3_word	prev_surprisal	prev2_surprisal	prev3_surprisal	prev_surprisal_buggy	prev2_surprisal_buggy	prev3_surprisal_buggy	prev_freq	prev2_freq	prev3_freq	prev_word_len	prev2_word_len	prev3_word_len
0	1	0	Antik	0.041666666666666664	220.75	-22.210773547051048	5.0	Antik	22.41389012336731	21.071682	1															
1	1	1	Roma	0.08333333333333333	161.70833333333334	-81.25244021371772	4.0	Roma	7.755720853805542	9.250344	1	Antik			22.41389012336731			21.071682			1.0			5.0		
2	1	2	inanışlarında	0.0	621.5	378.5392264529489	13.0	inanışlarında	22.22653466463089	22.399357	1	Roma	Antik		7.755720853805542	22.41389012336731		9.250344	21.071682		1.0	1.0		4.0	5.0	
3	1	3	ve	0.25	137.41666666666666	-105.54410688038439	2.0	ve	3.0901099569164217	3.3113916	1	inanışlarında	Roma	Antik	22.22653466463089	7.755720853805542	22.41389012336731	22.399357	9.250344	21.071682	1.0	1.0	1.0	13.0	4.0	5.0
4	1	4	mitlerinde,	0.0	448.5833333333333	205.6225597862823	11.0	mitlerinde,	8.958298098295927	8.931486	1	ve	inanışlarında	Roma	3.0901099569164217	22.22653466463089	7.755720853805542	3.3113916	22.399357	9.250344	1.0	1.0	1.0	2.0	13.0	4.0
5	1	5	Janus	0.08333333333333333	223.29166666666666	-19.669106880384387	5.0	Janus	11.890757262706757	11.067336	1	mitlerinde,	ve	inanışlarında	8.958298098295927	3.0901099569164217	22.22653466463089	8.931486	3.3113916	22.399357	1.0	1.0	1.0	11.0	2.0	13.0
6	1	6	başlangıçların	0.0	493.1666666666667	250.20589311961558	14.0	başlangıçların	16.15395475924015	16.90218	1	Janus	mitlerinde,	ve	11.890757262706757	8.958298098295927	3.0901099569164217	11.067336	8.931486	3.3113916	1.0	1.0	1.0	5.0	11.0	2.0
7	1	7	ve	0.3333333333333333	116.83333333333333	-126.12744021371772	2.0	ve	2.381995401578024	2.4864428	1	başlangıçların	Janus	mitlerinde,	16.15395475924015	11.890757262706757	8.958298098295927	16.90218	11.067336	8.931486	1.0	1.0	1.0	14.0	5.0	11.0
8	1	8	kapıların	0.0	371.2083333333333	128.24755978628227	9.0	kapıların	9.256936963647604	9.210077	1	ve	başlangıçların	Janus	2.381995401578024	16.15395475924015	11.890757262706757	2.4864428	16.90218	11.067336	1.0	1.0	1.0	2.0	14.0	5.0
9	1	9	tanrısıdır.	0.0	455.4583333333333	212.4975597862823	11.0	tanrısıdır.	5.781492605805397	5.6538644	1	kapıların	ve	başlangıçların	9.256936963647604	2.381995401578024	16.15395475924015	9.210077	2.4864428	16.90218	1.0	1.0	1.0	9.0	2.0	14.0
