ngram_context	context_limited_context	fold	n_train	n_test	ll_m0_mean	ll_m0_a_mean	ll_m0_b_mean	ll_joint_mean	delta_a_given_b_mean	delta_b_given_a_mean	ll_m0_sum	ll_m0_a_sum	ll_m0_b_sum	ll_joint_sum	delta_a_given_b_sum	delta_b_given_a_sum
0	1	1	408	46	-4.67093018114756	-4.64574045205677	-4.60817181441432	-4.63032345433211	-0.022151639917789	0.015416997724655	-214.862788332788	-213.704060794611	-211.975903463059	-212.994878899277	-1.01897543621834	0.709181895334069
0	1	2	409	45	-4.8491454023871	-4.85477155221284	-4.84112883008457	-4.86497734968889	-0.0238485196043188	-0.0102057974760488	-218.211543107419	-218.464719849578	-217.850797353806	-218.923980736	-1.07318338219437	-0.459260886422186
0	1	3	409	45	-4.92348203585279	-4.89191308217529	-4.88476824446574	-4.92483142917431	-0.0400631847085684	-0.0329183469990193	-221.556691613375	-220.136088697888	-219.814571000958	-221.617414312844	-1.8028433118856	-1.48132561495589
0	1	4	408	46	-4.71919919646765	-4.63512783645977	-4.56547483185897	-4.55279482351277	0.0126800083462033	0.0823330129469957	-217.083163037512	-213.215880477149	-210.011842265513	-209.428561881587	0.58328038392537	3.7873185955618
0	1	5	409	45	-4.70827267453774	-4.60421663389246	-4.66693385881328	-4.65810364604443	0.00883021276884932	-0.0538870121519661	-211.872270354198	-207.189748525161	-210.012023646597	-209.614664071999	0.397359574598255	-2.42491554683846
0	1	6	409	45	-4.59287828561385	-4.57674192665283	-4.50093441698666	-4.51105576291676	-0.0101213459300995	0.0656861637360642	-206.679522852623	-205.953386699377	-202.5420487644	-202.997509331254	-0.455460566854441	2.95587736812291
0	1	7	408	46	-4.8299347036681	-4.79699826338413	-4.71394337677823	-4.72949503584926	-0.0155516590710283	0.0675032275348775	-222.176996368732	-220.66192011567	-216.841395331798	-217.556771649066	-0.715376317267328	3.10514846660436
0	1	8	409	45	-4.6352795437939	-4.59854389202888	-4.63126463332546	-4.61549337145717	0.0157712618682879	-0.0169494794282929	-208.587579470725	-206.9344751413	-208.406908499646	-207.697201715573	0.709706784072949	-0.762726574273159
0	1	9	409	45	-4.65402526087442	-4.57820093851772	-4.58729668103498	-4.58433421055499	0.00296247047998488	-0.00613327203727909	-209.431136739349	-206.019042233297	-206.428350646574	-206.295039474975	0.133311171599331	-0.275997241677516
0	1	10	408	46	-4.7238069036227	-4.67967927332128	-4.6819560826055	-4.67808184825417	0.00387423435133272	0.00159742506711069	-217.295117566644	-215.265246572779	-215.369979799853	-215.191765019692	0.178214780161312	0.073481553087106
0	2	1	408	46	-4.67093018114756	-4.64574045205677	-4.6496749167835	-4.63894716867725	0.01072774810625	0.00679328337951812	-214.862788332788	-213.704060794611	-213.885046172041	-213.391569759154	0.493476412887503	0.312491035457811
0	2	2	409	45	-4.8491454023871	-4.85477155221284	-4.87485614622496	-4.88653534671536	-0.0116792004903985	-0.0317637945025231	-218.211543107419	-218.464719849578	-219.368526580123	-219.894090602191	-0.525564022067897	-1.42937075261349
0	2	3	409	45	-4.92348203585279	-4.89191308217529	-4.87646517207568	-4.8681787264539	0.00828644562178926	0.0237343557213947	-221.556691613375	-220.136088697888	-219.440932743406	-219.068042690425	0.372890052980523	1.06804600746275
0	2	4	408	46	-4.71919919646765	-4.63512783645977	-4.53712382405167	-4.49262112240921	0.0445027016424584	0.142506714050556	-217.083163037512	-213.215880477149	-208.707695906377	-206.660571630824	2.0471242755531	6.55530884632557
