comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	folds	delta_predictor_given_layer_mean	delta_predictor_given_layer_se	delta_layer_given_predictor_mean	delta_layer_given_predictor_se	delta_n_given_l_mean	delta_n_given_l_se	delta_l_given_n_mean	delta_l_given_n_se	delta_c_given_l_mean	delta_c_given_l_se	delta_l_given_c_mean	delta_l_given_c_se
context_limited_vs_internal_layer	context_limited	1	NA	1	1	5	-0.959937857027691	0.439847873414705	-0.710962901981219	0.289754103570096	NA	NA	NA	NA	-0.959937857027691	0.439847873414705	-0.710962901981219	0.289754103570096
context_limited_vs_internal_layer	context_limited	1	NA	1	2	5	-0.994511709858242	0.424849388756275	-0.781600172303257	0.284514890275255	NA	NA	NA	NA	-0.994511709858242	0.424849388756275	-0.781600172303257	0.284514890275255
context_limited_vs_internal_layer	context_limited	1	NA	1	3	5	-0.91970014674908	0.3759747452907	-0.745312413742598	0.262965827363841	NA	NA	NA	NA	-0.91970014674908	0.3759747452907	-0.745312413742598	0.262965827363841
context_limited_vs_internal_layer	context_limited	1	NA	1	4	5	-0.921512373560995	0.433036908521253	-0.742094629029423	0.311335712437037	NA	NA	NA	NA	-0.921512373560995	0.433036908521253	-0.742094629029423	0.311335712437037
context_limited_vs_internal_layer	context_limited	1	NA	1	5	5	-0.837326412016694	0.374149674782885	-0.588605934335214	0.197253292291418	NA	NA	NA	NA	-0.837326412016694	0.374149674782885	-0.588605934335214	0.197253292291418
context_limited_vs_internal_layer	context_limited	1	NA	1	6	5	-0.901955937017545	0.418392291827096	-0.636356565588255	0.222469554975478	NA	NA	NA	NA	-0.901955937017545	0.418392291827096	-0.636356565588255	0.222469554975478
context_limited_vs_internal_layer	context_limited	1	NA	1	7	5	-0.768256710899873	0.335503891770611	-0.509344146549802	0.135960596889084	NA	NA	NA	NA	-0.768256710899873	0.335503891770611	-0.509344146549802	0.135960596889084
context_limited_vs_internal_layer	context_limited	1	NA	1	8	5	-0.751917445602368	0.311516832327696	-0.500029115386424	0.178685008325952	NA	NA	NA	NA	-0.751917445602368	0.311516832327696	-0.500029115386424	0.178685008325952
context_limited_vs_internal_layer	context_limited	1	NA	1	9	5	-0.633582211750369	0.281073345112975	-0.371545242558139	0.151649149062605	NA	NA	NA	NA	-0.633582211750369	0.281073345112975	-0.371545242558139	0.151649149062605
context_limited_vs_internal_layer	context_limited	1	NA	1	10	5	-0.553781501135341	0.270873945135126	-0.295682867080891	0.0605101958139852	NA	NA	NA	NA	-0.553781501135341	0.270873945135126	-0.295682867080891	0.0605101958139852
