comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	fold	n_train	n_test	ll_m0_mean	ll_predictor_mean	ll_layer_mean	ll_joint_mean	delta_predictor_given_layer_mean	delta_layer_given_predictor_mean	delta_n_given_l_mean	delta_l_given_n_mean	delta_c_given_l_mean	delta_l_given_c_mean	ll_m0_sum	ll_predictor_sum	ll_layer_sum	ll_joint_sum	delta_predictor_given_layer_sum	delta_layer_given_predictor_sum	delta_n_given_l_sum	delta_l_given_n_sum	delta_c_given_l_sum	delta_l_given_c_sum
ngram_vs_internal_layer	ngram	0	0	NA	1	1	408	46	-4.48649557711874	-4.4739699965859	-4.6099567788656	-4.5727131853304	0.0372435935352042	-0.0987431887445016	0.0372435935352042	-0.0987431887445016	NA	NA	-206.378796547462	-205.802619842951	-212.058011827818	-210.344806525198	1.71320530261943	-4.54218668224703	1.71320530261943	-4.54218668224703	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	2	409	45	-4.55227129162572	-4.49023150938962	-4.48425919012731	-4.45657611179776	0.0276830783295461	0.0336553975918576	0.0276830783295461	0.0336553975918576	NA	NA	-204.852208123157	-202.060417922533	-201.791663555729	-200.545925030899	1.24573852482953	1.51449289163355	1.24573852482953	1.51449289163355	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	3	409	45	-4.83691345434996	-4.72583133026769	-4.77966967238509	-4.73259443558938	0.0470752367957115	-0.00676310532168856	0.0470752367957115	-0.00676310532168856	NA	NA	-217.661105445748	-212.662409862046	-215.085135257329	-212.966749601522	2.118385655807	-0.304339739475978	2.118385655807	-0.304339739475978	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	4	408	46	-4.84394400575021	-4.89578396764768	-4.80843353448171	-4.84535590714076	-0.0369223726590429	0.0504280605069223	-0.0369223726590429	0.0504280605069223	NA	NA	-222.82142426451	-225.206062511793	-221.187942586159	-222.886371728475	-1.698429142316	2.31969078331841	-1.698429142316	2.31969078331841	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	5	409	45	-4.44826430396403	-4.41101620290392	-4.40024145876338	-4.39935872800103	0.000882730762343797	0.0116574749028882	0.000882730762343797	0.0116574749028882	NA	NA	-200.171893678381	-198.495729130677	-198.010865644352	-197.971142760047	0.039722884305462	0.524586370629976	0.039722884305462	0.524586370629976	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	6	409	45	-4.63368851310806	-4.56754334762109	-4.59916982337724	-4.56944637981475	0.0297234435624949	-0.00190303219365795	0.0297234435624949	-0.00190303219365795	NA	NA	-208.515983089863	-205.539450642949	-206.962642051976	-205.625087091664	1.3375549603123	-0.0856364487145811	1.3375549603123	-0.0856364487145811	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	7	408	46	-4.99254488935761	-5.03580322406541	-4.96534678794384	-5.04180492404372	-0.076458136099876	-0.00600169997830946	-0.076458136099876	-0.00600169997830946	NA	NA	-229.65706491045	-231.646948307009	-228.405952245417	-231.923026506011	-3.51707426059434	-0.276078199002256	-3.51707426059434	-0.276078199002256	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	8	409	45	-4.50404071539604	-4.49563359315298	-4.43628172665082	-4.46424609261978	-0.0279643659689564	0.0313875005332038	-0.0279643659689564	0.0313875005332038	NA	NA	-202.681832192822	-202.303511691884	-199.632677699287	-200.89107416789	-1.25839646860302	1.41243752399413	-1.25839646860302	1.41243752399413	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	9	409	45	-4.58087065183731	-4.4871587000908	-4.51782506462272	-4.51329806421115	0.00452700041156362	-0.0261393641203505	0.00452700041156362	-0.0261393641203505	NA	NA	-206.139179332679	-201.922141504086	-203.302127908022	-203.098412889502	0.203715018520398	-1.17627138541573	0.203715018520398	-1.17627138541573	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	10	408	46	-4.76365841592551	-4.79601619546453	-4.735792856043	-4.74243716077972	-0.00664430473672706	0.0535790346848035	-0.00664430473672706	0.0535790346848035	NA	NA	-219.128287132574	-220.616744991368	-217.846471377978	-218.152109395867	-0.305638017889436	2.46463559550097	-0.305638017889436	2.46463559550097	NA	NA
